link;model;waist;weight;hips;bust;height;attractive
http://www.maxmodels.pl/modelka-goldi93.html;goldi93;68;50;88;88;163;0
http://www.maxmodels.pl/modelka-alexxxaaadraaa.html;alexxxaaadraaa;71;61;90;90;163;1
http://www.maxmodels.pl/modelka-annalikeys.html;annalikeys;65;55;93;90;163;1
http://www.maxmodels.pl/modelka-diak13.html;DiaK13;65;53;92;98;163;1
http://www.maxmodels.pl/modelka-ola0305.html;Ola0305;65;54;80;75;164;0
http://www.maxmodels.pl/modelka-kolorowakasia.html;kolorowakasia;78;50;85;75;164;0
http://www.maxmodels.pl/modelka-jamie.html;Jamie;67;51;83;76;164;0
http://www.maxmodels.pl/modelka-alexsanowak.html;alexsanowak;56;46;85;76;164;1
http://www.maxmodels.pl/modelka-monisia1994.html;monisia1994;67;48;87;80;164;0
http://www.maxmodels.pl/modelka-uryciowa.html;uryciowa;61;53;80;81;164;0
http://www.maxmodels.pl/modelka-roxy91.html;Roxy91;65;49;83;83;164;1
http://www.maxmodels.pl/modelka-palinazet.html;PalinaZet;77;58;102;95;164;0
http://www.maxmodels.pl/modelka-sandrinyyyy12322.html;sandrinyyyy12322;60;49;83;75;165;1
http://www.maxmodels.pl/modelka-pusz-karolina.html;pusz-karolina;70;57;95;75;165;1
http://www.maxmodels.pl/modelka-aalexandre.html;aalexandre;80;67;97;75;165;0
http://www.maxmodels.pl/modelka-martandw18.html;MartaNdw18;69;47;80;79;165;1
http://www.maxmodels.pl/modelka-feniks23.html;Feniks23;75;55;87;80;165;0
http://www.maxmodels.pl/modelka-allusiq.html;Allusiq;60;50;90;80;165;1
http://www.maxmodels.pl/modelka-hejanka.html;hejanka;67;49;80;81;165;1
http://www.maxmodels.pl/modelka-julietandnoromeo.html;JulietandnoRomeo;60;48;82;82;165;0
http://www.maxmodels.pl/modelka-inga007.html;Inga007;68;51;81;84;165;1
http://www.maxmodels.pl/modelka-caterina88.html;Caterina88;66;50;90;84;165;0
http://www.maxmodels.pl/modelka-varsola.html;varsola;60;50;90;85;165;1
http://www.maxmodels.pl/modelka-olysinka.html;Olysinka;65;50;90;85;165;1
http://www.maxmodels.pl/modelka-weronikagrzybowska.html;weronikagrzybowska;70;53;93;88;165;1
http://www.maxmodels.pl/modelka-kimmi.html;Kimmi;64;50;89;89;165;1
http://www.maxmodels.pl/modelka-_mika_.html;_mika_;71;55;84;90;165;1
http://www.maxmodels.pl/modelka-karolinakurzacz.html;karolinakurzacz;67;57;86;90;165;0
http://www.maxmodels.pl/modelka-angelika1258.html;angelika1258;70;55;90;90;165;0
http://www.maxmodels.pl/modelka-annajozefina.html;annajozefina;74;57;93;90;165;1
http://www.maxmodels.pl/modelka-xyuuuuup.html;Xyuuuuup;63;49;89;93;165;1
http://www.maxmodels.pl/modelka-swirl.html;swirl;76;56;94;97;165;1
http://www.maxmodels.pl/modelka-zakrapianerumem.html;zakrapianerumem;63;57;93;104;165;1
http://www.maxmodels.pl/modelka-archidea.html;Archidea;60;50;80;78;166;0
http://www.maxmodels.pl/modelka-wiktoria942.html;Wiktoria942;61;52;86;79;166;1
http://www.maxmodels.pl/modelka-darianaa.html;darianaa;68;64;89;80;166;0
http://www.maxmodels.pl/modelka-fifi_93.html;Fifi_93;70;50;90;80;166;0
